text,pmid,title
"amoeboid microglial states exclusively in females and enhanced doublecortin-defined neurogenesis without altering mature NeuN⁺ neuronal density. This coordinated hippocampal stabilization highlights AGO's capacity to restore plasticity rather than simply suppress pathology. Transcriptomic analyses revealed sex-divergent mechanisms underlying these effects. In females, AGO activated metabolic, oxygen-handling, lipid-processing, neuroimmune, and CREB/IGF-1 signaling pathways while suppressing ER-",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"gen-handling, lipid-processing, neuroimmune, and CREB/IGF-1 signaling pathways while suppressing ER-stress, epigenetic, and ion-channel transcripts, changes consistent with resilience-promoting cellular reprogramming. In males, AGO preferentially modulated mitochondrial redox biology, transcriptional regulators, and extracellular matrix components. Despite these differences, both sexes showed AGO-induced engagement of conserved AD-relevant pathways, including shared induction of synaptic plastic",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"induced engagement of conserved AD-relevant pathways, including shared induction of synaptic plasticity and hemoglobin/oxygen-transport related genes, suggesting a convergent neuroprotective molecular signature. To translate these findings to a human system, we examined AGO's effects in PSEN2 N141I and APP V717I iPSC-derived cortical neurons. Both mutations produced convergent deficits in synaptic integrity, neuronal maturity, trophic signaling, proteostasis, metabolism, and excitability, alongs",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"integrity, neuronal maturity, trophic signaling, proteostasis, metabolism, and excitability, alongside dysregulated developmental and ECM-remodeling programs. AGO partially reversed these pathogenic transcriptional changes, up-regulating synaptic, metabolic, vesicle-trafficking, and redox-stress resilience genes while suppressing pathological developmental and inflammatory pathways, demonstrating conserved engagement of neuronal recovery programs. Together, these results identify AGO as a promi",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"conserved engagement of neuronal recovery programs. Together, these results identify AGO as a promising non-amyloid therapeutic candidate capable of modulating AD-relevant pathways in rodents and human models. The sex-selective efficacy observed in vivo , combined with conserved transcriptional responses across species, underscores the translational relevance of AGO-driven molecular reprogramming in AD.",41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
in AD.,41648350,Agomelatine drives sex-specific neuroprotection and reduced pathology in rat and human Alzheimer's models.
"ABSTRACT: TNF-α (Tumor Necrosis Factor) is a proinflammatory cytokine that amplifies inflammatory response and promotes leukocyte recruitment. TNF-α is primarily produced by activated macrophages, among others, in response to infection, inflammation, or tissue damage. Given its central role in normal and abnormal immune responses, it is the target of several therapeutics, such as adalimumab and etanercept. TNF-α is also a prognostic and diagnostic biomarker associated with Rheumatoid Arthritis,",41648205,Screening Molecular Recognition Element-Based SWCNT Optical Sensors for the Inflammatory Cytokine TNF-α.
"anercept. TNF-α is also a prognostic and diagnostic biomarker associated with Rheumatoid Arthritis, Alzheimer's disease, Multiple Sclerosis, several kidney diseases, several cancers, Type 2 diabetes, sepsis, and others. Spatial quantification of TNF-α in disease models can also be a powerful tool to understand the contributions of inflammatory processes to disease progression. Single-walled carbon nanotubes (SWCNT) are cylindrical carbon lattices that emit distinct near-infrared bandgap photolum",41648205,Screening Molecular Recognition Element-Based SWCNT Optical Sensors for the Inflammatory Cytokine TNF-α.
"nanotubes (SWCNT) are cylindrical carbon lattices that emit distinct near-infrared bandgap photoluminescence. In this work, we evaluated three aptamer-based sensor constructs, plus an additional two iterations of one aptamer sequence, and two antibody-based sensor constructs for TNF-α that use SWCNT near-infrared photoluminescence signal transduction. Several, but not all, of these aptamer and antibody-based sensors sensitively and selectively detected TNF-α in serum in a physiologically releva",41648205,Screening Molecular Recognition Element-Based SWCNT Optical Sensors for the Inflammatory Cytokine TNF-α.
"tibody-based sensors sensitively and selectively detected TNF-α in serum in a physiologically relevant range, and we found that their sensing was improved by both passivation and incorporating an exogenous quencher onto the aptamer sequence. Specifically, we found that modification of one aptamer sequence with a Black Hole Quencher induced selective detection in serum when passivated with poly-L-Lysine. This study highlights the importance, and challenges, of translating previously-validated mol",41648205,Screening Molecular Recognition Element-Based SWCNT Optical Sensors for the Inflammatory Cytokine TNF-α.
"ysine. This study highlights the importance, and challenges, of translating previously-validated molecular recognition elements to new detection conditions, in this case on the surface of SWCNT and in challenging serum conditions. It also validated a lead sensor construct that builds upon constructs that failed in serum. We anticipate that the sensors evaluated here will have utility in both the diagnosis and study of inflammation-driven chronic disease, while the sensor assessment framework wil",41648205,Screening Molecular Recognition Element-Based SWCNT Optical Sensors for the Inflammatory Cytokine TNF-α.
"iagnosis and study of inflammation-driven chronic disease, while the sensor assessment framework will help drive the broader field of molecularly specific diagnostics.",41648205,Screening Molecular Recognition Element-Based SWCNT Optical Sensors for the Inflammatory Cytokine TNF-α.
"ABSTRACT: Microscale biophysical alterations in neuronal dynamics can have profound implications for macroscale pathological outcomes in the brain. Despite the critical need to link neuronal perturbations to large-scale disease manifestations, few studies successfully bridge these hierarchical scales. Here, we bridge microscale biophysical variability within neuronal dynamics to macroscale disease-related phenotypes. We find that Drosophila models expressing tauopathy- and epilepsy-associated mo",41648171,Neuronal microscale biophysical instability mediates macroscale network dynamics shaping pathological manifestations.
"-related phenotypes. We find that Drosophila models expressing tauopathy- and epilepsy-associated molecular mutations exhibit increased dynamic instability in the timing of action potential initiation, and microscale biophysical changes are manifested at the level of the macroscale global brain state. We show that variability in voltage-gated sodium channel currents during non-stationary channel inactivation may act as a microscale biophysical contributor to the increased dynamic instability obs",41648171,Neuronal microscale biophysical instability mediates macroscale network dynamics shaping pathological manifestations.
"nactivation may act as a microscale biophysical contributor to the increased dynamic instability observed in action potential timing. We also find that treatment with antiepileptic drugs stabilizes neuronal dynamics by modulating this variability in voltage-gated sodium channel currents. Finally, we show that neurons derived from human induced pluripotent stem cells (iPSCs) from patients with Alzheimer's disease and epilepsy exhibit analogous dynamic instability, which is reversible by administr",41648171,Neuronal microscale biophysical instability mediates macroscale network dynamics shaping pathological manifestations.
"eimer's disease and epilepsy exhibit analogous dynamic instability, which is reversible by administration of antiepileptic medications. Our results highlight how subtle microscale neuronal instabilities propagate and are amplified to produce macroscopic pathological phenotypes, providing new biophysical insights into neurological disorders and potential strategies for therapeutic intervention.",41648171,Neuronal microscale biophysical instability mediates macroscale network dynamics shaping pathological manifestations.
"ABSTRACT: We previously reported that WAVE1, a major activator of Arp2/3 complex-mediated actin polymerization, is downregulated in postmortem brains of Alzheimer's disease (AD) and that WAVE1 regulates amyloid precursor protein trafficking and amyloid-β production. However, its role in tau pathology remains unknown. Here, we demonstrate that WAVE1 activity is suppressed in P301S tau mice through elevated inhibitory phosphorylation. Strikingly, WAVE1 gene ( Wasf1 ) knockout in P301S tau mice sig",41648133,"Wasf1 deletion attenuates tau hyperphosphorylation, microglial state transition, and cognitive deficits in P301S tau mice."
"elevated inhibitory phosphorylation. Strikingly, WAVE1 gene ( Wasf1 ) knockout in P301S tau mice significantly reduces tau hyperphosphorylation and improves cognition, suggesting a compensatory role for WAVE1 suppression in tau pathogenesis. Single-nucleus RNA sequencing reveals that Wasf1 deletion in P301S tau mice reverses microglial state transitions, with minimal impact on other brain cell types. Wasf1 mRNA is highly translated in microglia in non-Tg mice, while its expression is downregulat",41648133,"Wasf1 deletion attenuates tau hyperphosphorylation, microglial state transition, and cognitive deficits in P301S tau mice."
"es. Wasf1 mRNA is highly translated in microglia in non-Tg mice, while its expression is downregulated in P301S tau mice. Wasf1 knockdown in BV2 microglia cells enhances the degradation of engulfed tau fibrils, indicating WAVE1 as an endogenous regulator of microglial function. Additionally, CellChat analysis indicates that Wasf1 deletion alters microglial autocrine signaling and their interactions with other cell types in P301S tau mice. These findings, taken together, suggest that Wasf1 deleti",41648133,"Wasf1 deletion attenuates tau hyperphosphorylation, microglial state transition, and cognitive deficits in P301S tau mice."
"s with other cell types in P301S tau mice. These findings, taken together, suggest that Wasf1 deletion restores homeostatic microglial function, mitigates tau pathology, and alleviates cognitive deficits, highlighting WAVE1 as a potential therapeutic target for tauopathy-related dementias.",41648133,"Wasf1 deletion attenuates tau hyperphosphorylation, microglial state transition, and cognitive deficits in P301S tau mice."
"ABSTRACT: Early-onset Alzheimer's disease (EOAD) and Late-onset AD (LOAD) differ in clinical presentations and rates of progression. We aimed to compare baseline and longitudinal tau PET burden, and their relationship with clinical variables in amyloid-PET positive, cognitively impaired participants from the Longitudinal Early-Onset Alzheimer's Disease Study (EOAD; n=390) and Alzheimer's Disease Neuroimaging Initiative (LOAD; n=211). Patients with EOAD showed higher baseline tau PET retention, b",41646765,Distinct Tau PET Dynamics in Early vs. Late Age-of-Onset Alzheimer's disease.
"euroimaging Initiative (LOAD; n=211). Patients with EOAD showed higher baseline tau PET retention, broader neuroanatomical involvement and faster accumulation rates over time compared to LOAD, after adjusting for amyloid load and clinical stage. Tau PET showed stronger correlations with baseline amyloid burden and clinical measures of global cognition and function in EOAD than LOAD. We conclude that earlier age of onset in AD is linked to a more aggressive tauopathy, which in turn is a primary d",41646765,Distinct Tau PET Dynamics in Early vs. Late Age-of-Onset Alzheimer's disease.
"at earlier age of onset in AD is linked to a more aggressive tauopathy, which in turn is a primary driver of clinical decline. These findings suggest that optimal therapeutic targets and strategies may differ between EOAD and LOAD.",41646765,Distinct Tau PET Dynamics in Early vs. Late Age-of-Onset Alzheimer's disease.
"ABSTRACT: The dynamic genetic regulation of gene expression during the progression of common neurodegenerative diseases (NDDs) remains poorly characterized, obscuring the genetic architecture of longitudinal clinical traits. Here, we present 2sGen-GPS, a two-stage genetic Granger temporal causality framework designed to integrate genetic variants, intermediate longitudinal molecular traits, and disease progression phenotypes. In the discovery stage, we utilized multivariate polynomial temporal g",41646748,Nonlinear dynamic genetic regulation identifies peripheral drivers of neurodegenerative disease progression.
"sease progression phenotypes. In the discovery stage, we utilized multivariate polynomial temporal genetic association (MPTGA) analysis of peripheral blood to identify 774,533 time-dependent cis-eQTLs (11,936 eGenes), enabling the imputation of individual-level longitudinal expression trajectories. In the second stage, these imputed profiles were linked to NDD phenotypes to infer temporal causal relationships. Applying 2sGen-GPS to Parkinson's disease multi-omics cohorts, we identified a periphe",41646748,Nonlinear dynamic genetic regulation identifies peripheral drivers of neurodegenerative disease progression.
"elationships. Applying 2sGen-GPS to Parkinson's disease multi-omics cohorts, we identified a peripheral-to-central regulatory axis; specifically, the rs11241912-driven temporal expression of C5orf63 exhibits a lagged causal association with cerebrospinal fluid LRP1 levels and motor symptom progression. Cross-regional single-cell analysis further revealed that rs11241912 carriers harbor a localized compensatory signature in excitatory neurons of the globus pallidus interna, characterized by the u",41646748,Nonlinear dynamic genetic regulation identifies peripheral drivers of neurodegenerative disease progression.
"compensatory signature in excitatory neurons of the globus pallidus interna, characterized by the up-regulation of dopamine receptor signaling pathways. Extending 2sGen-GPS to Alzheimer's disease, we identified 328 genes linked to cognitive decline and prioritized drug compounds capable of reversing these expression signatures. Our study elucidates how dynamic genetic effects shape the trajectories of NDD-related traits and nominates peripherally accessible, causal genes as promising therapeuti",41646748,Nonlinear dynamic genetic regulation identifies peripheral drivers of neurodegenerative disease progression.
"es of NDD-related traits and nominates peripherally accessible, causal genes as promising therapeutic targets for modulating disease progression.",41646748,Nonlinear dynamic genetic regulation identifies peripheral drivers of neurodegenerative disease progression.
"ABSTRACT: SORL1, the gene encoding the SORLA protein, has arisen as a potential therapeutic target for Alzheimer's disease (AD). Studies suggest that restoring SORLA function or its trafficking pathways, particularly the SORLA-retromer recycling system, may offer a promising strategy to slow or halt AD progression. While both rare and common SORL1 variants have been associated with increased AD risk, recent evidence suggests a potential involvement of SORL1 in other neurodegenerative conditions.",41646738,Is SORL1 a common genetic target across neurodegenerative diseases?: A multi-ancestry biobank scale assessment.
"sk, recent evidence suggests a potential involvement of SORL1 in other neurodegenerative conditions. This study assessed the contribution of SORL1 genetic variation to the risk of AD, related dementias (RD), and Parkinson's disease (PD) using data from six large-scale biobanks, comprising 15,043 AD, 9,943 RD, and 42,763 PD cases, along with 111,969 controls across 11 ancestries. We identified 53 potentially disease-related SORL1 variants (CADD score > 20, MAC ≥ 2, annotated as protein-altering o",41646738,Is SORL1 a common genetic target across neurodegenerative diseases?: A multi-ancestry biobank scale assessment.
"otentially disease-related SORL1 variants (CADD score > 20, MAC ≥ 2, annotated as protein-altering or splicing, and with the mutated allele present only in cases), including 41 novel and 12 previously reported variants. Three were found across multiple ancestries. Overall, 13 variants were found in AD-related cohorts, 5 in RD cohorts, and 35 in PD cohorts. Association analysis identified 10 nominally significant variants associated with AD and 5 with PD. The replication of multiple SORL1 variant",41646738,Is SORL1 a common genetic target across neurodegenerative diseases?: A multi-ancestry biobank scale assessment.
lly significant variants associated with AD and 5 with PD. The replication of multiple SORL1 variants across neurodegenerative diseases and ancestrally diverse populations underscores its potential broad genetic contribution to neurodegeneration and reinforces its relevance across distinct clinical phenotypes. Gene-based burden analysis did not reveal any significant cumulative effect of SORL1 variants in the populations tested. A family-based analysis identified a rare predicted-damaging varian,41646738,Is SORL1 a common genetic target across neurodegenerative diseases?: A multi-ancestry biobank scale assessment.
"iants in the populations tested. A family-based analysis identified a rare predicted-damaging variant in two East Asian families (11:121478242:G:A, p.R176Q) and two variants in two families of European ancestry (11:121514222:A:C, p.N371T; 11:121545392:G:A, p.V672M) that show some evidence of segregation in PD families. Although these variants were slightly more frequent in unrelated PD cases vs. controls, none of them showed statistically significant enrichment in PD, likely due to their very lo",41646738,Is SORL1 a common genetic target across neurodegenerative diseases?: A multi-ancestry biobank scale assessment.
"ontrols, none of them showed statistically significant enrichment in PD, likely due to their very low frequency. Overall, our results extend the understanding of SORL1 beyond AD, suggesting a broader role in neurodegeneration and emphasizing the need for diverse population studies when evaluating genetic risk.",41646738,Is SORL1 a common genetic target across neurodegenerative diseases?: A multi-ancestry biobank scale assessment.
"ABSTRACT: Alzheimer's disease (AD) is a progressive neurodegenerative disorder, posing a global health challenge. It affects millions of people, causing cognitive decline and a heavy burden on healthcare systems. Neuroinflammation is a key pathological feature of AD, often associated with the dysregulation of microRNAs such as hsa-miR-146a-5p. WGX50 (N-[2-(3,4-Dimethoxy-phenyl)-ethyl]-3-phenyl-acrylamide), a small molecule derived from Zanthoxylum bungeanum Maxim, has antioxidant and anti-inflam",41645728,Targeted Nanodelivery of WGX50 and Curcumin via Gold Nanoparticles for Alzheimer's Therapy.
"ylamide), a small molecule derived from Zanthoxylum bungeanum Maxim, has antioxidant and anti-inflammatory activities. While WGX50 demonstrates potent inhibition of neuroinflammation, its poor blood-brain barrier permeability may be improved using targeted delivery strategies. The current study aimed to design a novel nanoconjugate of WGX50 and curcumin with gold nanoparticles (AuNPs) to observe its therapeutic effects in a rat model. All nanoconjugates were synthesised as targeted (Cys-capped A",41645728,Targeted Nanodelivery of WGX50 and Curcumin via Gold Nanoparticles for Alzheimer's Therapy.
"ts therapeutic effects in a rat model. All nanoconjugates were synthesised as targeted (Cys-capped AuNPs with WGX50-insulin and curcumin-insulin) and non-targeted (without insulin). Immunohistochemical analysis revealed that both non-targeted (WGX50-NT) and targeted (WGX50-T) therapies have a significant effect in the rat model, with WGX50-T showing a more pronounced effect. The histopathology results of WGX50 and WGX50-T showed an approximate 80%-90% reduction in Aβ plaque deposition. The treat",41645728,Targeted Nanodelivery of WGX50 and Curcumin via Gold Nanoparticles for Alzheimer's Therapy.
"ults of WGX50 and WGX50-T showed an approximate 80%-90% reduction in Aβ plaque deposition. The treatment with both curcumins targeted (C-T) and non-targeted (C-NT) formulations led to a significant reduction in Aβ levels in AD rats. Fluorescence microscopy confirmed that targeted delivery was more effective, potentially leading to better therapeutic outcomes. The expression levels of hsa-miR-146a-5p showed differential expression levels with targeted treatments correlating with lower expression",41645728,Targeted Nanodelivery of WGX50 and Curcumin via Gold Nanoparticles for Alzheimer's Therapy.
"5p showed differential expression levels with targeted treatments correlating with lower expression levels, suggesting a role in modulating neuroinflammation and immune responses. Overall, these findings highlight the potential of targeted drug delivery systems in enhancing the efficacy of AD treatments.",41645728,Targeted Nanodelivery of WGX50 and Curcumin via Gold Nanoparticles for Alzheimer's Therapy.
